horizon,fold,iso3,year,y_true,oracle_config,oracle_error,eco_only_error,uniform_error,oracle_is_not_eco,oracle_improvement_over_eco,error_eco_only,error_eco_pol,error_eco_env,error_eco_human,error_full_quad
1,0,AFG,2019,-0.045191679149866104,full_quad,0.039007385479624984,0.04637137840747023,0.04361816994903808,True,0.007363992927845245,0.04637137840747023,0.04694980503169301,0.04574000206947506,0.040022278756927133,0.039007385479624984
1,0,AFG,2021,-0.08488719910383224,full_quad,0.07606272740189665,0.08550452749369229,0.08127008292524239,True,0.00944180009179564,0.08550452749369229,0.08429575460719683,0.08353420706014722,0.07695319806327894,0.07606272740189665
1,0,AFG,2022,0.0010601956164464355,eco_pol,0.004924648144680277,0.006676879945077777,0.010109986481506784,True,0.0017522318003975,0.006676879945077777,0.004924648144680277,0.00936608918769475,0.016752621768249723,0.012829693361831394
1,0,AGO,2019,-0.07394392788410187,eco_human,0.06919272491175808,0.08065788695301944,0.07675564065211093,True,0.011465162041261356,0.08065788695301944,0.0827196188381703,0.0814380326707298,0.06919272491175808,0.06976993988687706
1,0,AGO,2020,-0.011003449559211731,eco_human,0.010843769340227717,0.01518851783984778,0.014511590330717377,True,0.004344748499620063,0.01518851783984778,0.01556806937370428,0.019497889732347146,0.010843769340227717,0.011459705367459962
1,0,AGO,2021,0.009865137748420238,eco_env,0.0012808081425012587,0.004765888670933929,0.007068114664401665,True,0.0034850805284326707,0.004765888670933929,0.00774464986195984,0.0012808081425012587,0.009373914420340392,0.012175312226272907
1,0,AGO,2022,-0.018252644687891006,full_quad,0.012597234598922044,0.0206988579221445,0.018382610333685663,True,0.008101623323222456,0.0206988579221445,0.01964263291488516,0.02264141405703922,0.0163329121754374,0.012597234598922044
1,0,ALB,2019,-0.018267132341861725,eco_pol,0.04697202438463369,0.04895201496257818,0.04988498723101444,True,0.001979990577944492,0.04895201496257818,0.04697202438463369,0.04960182159861828,0.053549419316688274,0.05034965589255379
1,0,ALB,2020,0.10132946074008942,eco_human,0.07083339704651882,0.07284731932185133,0.0732907984875218,True,0.002013922275332508,0.07284731932185133,0.0747543501945859,0.07581498522313256,0.07083339704651882,0.07220394065152042
1,0,ALB,2021,0.0625709742307663,eco_human,0.024165789824786052,0.028119003340280946,0.02790903720106741,True,0.003953213515494894,0.028119003340280946,0.0307721424189474,0.029319698088741956,0.024165789824786052,0.027168552332580698
1,0,ALB,2022,0.054799966514110565,eco_human,0.024862729136917654,0.028851948618158874,0.028850476534765614,True,0.003989219481241219,0.028851948618158874,0.03116989951168595,0.029116318096457927,0.024862729136917654,0.030251487310607672
1,0,AND,2019,-0.1303802877664566,eco_only,0.14048443346089434,0.14048443346089434,0.14362945438040425,False,0.0,0.14048443346089434,0.1412590714886539,0.1410307218719442,0.14693776750370036,0.1484352775768284
1,0,AND,2020,0.06697647273540497,eco_human,0.059870988102228274,0.06810354920587748,0.06467872947161385,True,0.008232561103649207,0.06810354920587748,0.066227855210318,0.0688977545427423,0.059870988102228274,0.06029350029690318
1,0,AND,2021,0.07437668740749359,eco_human,0.0633852335332344,0.07046337458139992,0.06883474601549969,True,0.007078141048165523,0.07046337458139992,0.07081260603560997,0.07336628011235242,0.0633852335332344,0.06614623581490171
1,0,AND,2022,0.01116990391165018,full_quad,0.0009146578151313679,0.007064303436573628,0.004087412497289731,True,0.00614964562144226,0.007064303436573628,0.006283066589266925,0.007646574174371567,0.0014715395288948298,0.0009146578151313679
1,0,ARE,2019,-0.08619878441095352,eco_human,0.08065264124824897,0.08630306246266052,0.08627859896466715,True,0.005650421214411547,0.08630306246266052,0.08418739196077815,0.0931222372908926,0.08065264124824897,0.08712766186075549
1,0,ARE,2020,0.026170767843723297,eco_human,0.029409431675127357,0.032883331441755745,0.03139437299668056,True,0.0034738997666283883,0.032883331441755745,0.0336534724424328,0.03119648088860232,0.029409431675127357,0.0298291485354846
1,0,ARE,2021,0.021571969613432884,full_quad,0.0071698950514329715,0.015347535958825256,0.011474135123978418,True,0.008177640907392284,0.015347535958825256,0.014100641281863363,0.010103724058993763,0.01064887926877673,0.0071698950514329715
1,0,ARE,2022,0.0023407733533531427,full_quad,0.000804116805856573,0.002590117340994843,0.0026988423360329618,True,0.00178600053513827,0.002590117340994843,0.0020363725625367254,0.0035727598233109246,0.004490845147465743,0.000804116805856573
1,0,ARG,2019,-0.11395697295665741,full_quad,0.10936234994052721,0.11229538243552423,0.11132888356967326,True,0.0029330324949970177,0.11229538243552423,0.11196836409630707,0.11119831703462643,0.11182000434138135,0.10936234994052721
1,0,ARG,2020,0.08984369784593582,eco_env,0.0749078299967723,0.08378215493996591,0.07927476128297253,True,0.00887432494319361,0.08378215493996591,0.08354691420329144,0.0749078299967723,0.07901437402272848,0.07512253325210456
1,0,ARG,2021,0.04209962487220764,eco_env,0.025779465397450775,0.03388093717916202,0.029769330671739286,True,0.008101471781711243,0.03388093717916202,0.033227153393107924,0.025779465397450775,0.02862587845235352,0.02733321893662219
1,0,ARG,2022,-0.02438557706773281,eco_pol,0.025533240309598706,0.026681915956242246,0.028887730835929725,True,0.001148675646643539,0.026681915956242246,0.025533240309598706,0.030610532781855517,0.03168374669516206,0.029929218436790098
1,0,ARM,2019,-0.07283305376768112,eco_human,0.11682174716830053,0.12066193540934812,0.11960928659709985,True,0.003840188241047593,0.12066193540934812,0.12140633205631213,0.11963204067795402,0.11682174716830053,0.11952437767358448
1,0,ARM,2020,0.055164627730846405,eco_human,0.01402865175996898,0.022429069942730626,0.019773341621129682,True,0.008400418182761646,0.022429069942730626,0.02302348100541783,0.022657236245477136,0.01402865175996898,0.016728269152053846
1,0,ARM,2021,0.11931301653385162,eco_human,0.08172137811663871,0.08799797982414803,0.08625431113456519,True,0.006276601707509322,0.08799797982414803,0.08759323666813766,0.09002437173817213,0.08172137811663871,0.08393458932572949
1,0,ARM,2022,0.07444752007722855,eco_pol,0.04257738384870327,0.0451164774915688,0.04611543021029837,True,0.002539093642865531,0.0451164774915688,0.04257738384870327,0.04592068258566129,0.04645893346828309,0.050503673657275386
