horizon,mae_eco,mae_uniform,mae_meta_soft,mae_meta_hard,mae_sharpened_llm,mae_calibrated_hybrid,mae_oracle,imp_uniform_pct,imp_meta_hard_pct,imp_hybrid_pct,imp_oracle_pct
1,0.026568971332419273,0.026517504438855394,0.026702151969266924,0.026764244818541366,0.026572159156962705,0.026755351200699808,0.023226652746603176,0.19371052390379753,-0.7349681840479158,-0.7014944837292788,12.579781670876446
3,0.060356854457832385,0.0596023067982666,0.06017304758604952,0.06006190561298852,0.060370377101844376,0.05999630615115166,0.050863809949572646,1.2501441076471953,0.4886749773382033,0.5973609955645014,15.728196231451964
5,0.07994226616183611,0.07860155800862785,0.07981393130128694,0.07912639816290107,0.07992367053895666,0.07925984114408494,0.0651812966874424,1.6770955060169492,1.020571517554169,0.85364732639636,18.464537200523473
