group,n_features,mae,rmse,dir_acc,skill_vs_rw,dropped_features,delta_mae_vs_full,delta_skill_vs_full
asset_prices,126,0.32552710780952465,0.9038413492912172,0.7767584097859327,-0.20203865793965892,"equity_total_return,equity_capital_gain,equity_div_yield,housing_capital_gain",0.013269354095075736,-0.048998305227176076
wages_ineq,127,0.32267622098105414,0.9027537203278517,0.7798165137614679,-0.1915114972362324,"real_wage_jst,gini_income,gini_wealth",0.010418467266605225,-0.038471144523749556
money_rates,127,0.3225106965939416,0.9030192494579932,0.7798165137614679,-0.19090028327780084,"short_rate,long_rate,real_interest_rate",0.010252942879492688,-0.037859930565318
credit,128,0.3186863740375483,0.9018126413565651,0.7828746177370031,-0.17677862200003958,"bank_debt,total_loans",0.006428620323099377,-0.023738269287556735
macro,125,0.3164951032344774,0.9019098667479072,0.7828746177370031,-0.16868715387921274,"gdp_pc_real,inflation_cpi,gov_debt_gdp,gov_balance_dom,social_spending",0.004237349520028466,-0.015646801166729896
(none) full,130,0.3122577537144489,0.8988350558543267,0.7798165137614679,-0.15304035271248284,,0.0,0.0
demographics,129,0.3080504360540311,0.8973292474138149,0.7798165137614679,-0.13750444693773667,population,-0.00420731766041782,0.015535905774746173
trade_fx,127,0.3067825583475068,0.8975685317959248,0.7767584097859327,-0.13282269239189448,"trade_gdp,current_account_gdp,fx_to_usd",-0.005475195366942132,0.02021766032058836
