horizon,fold,train_end,test_start,test_end,n_train,n_opt_train,n_opt_val,n_test,model,mae,rmse,dir_acc,skill_vs_naive,skill_vs_ar1
1,4,2004,2005,2008,8935,8077,858,870,naive_persistence,0.041631873697042465,0.07178971916437149,0.7034482758620689,0.0,-0.07284915447235107
1,4,2004,2005,2008,8935,8077,858,870,ar1_lag1_honest,0.03880496695637703,0.05278143286705017,0.7080459770114943,0.06790244579315186,0.0
1,4,2004,2005,2008,8935,8077,858,870,ridge,0.03894870728254318,0.05489875748753548,0.664367816091954,0.06444978713989258,-0.0037041902542114258
1,4,2004,2005,2008,8935,8077,858,870,lgbm,0.03406683798008394,0.0499377971660166,0.7034482758620689,0.18171259290441077,0.12210109550201398
1,4,2004,2005,2008,8935,8077,858,870,catboost,0.0327800600841496,0.04866642969181171,0.7126436781609196,0.21262107195337943,0.15526122929057995
1,4,2004,2005,2008,8935,8077,858,870,xgboost,0.03289884328842163,0.04880252107977867,0.7080459770114943,0.2097678780555725,0.15220022201538086
1,4,2004,2005,2008,8935,8077,858,870,ensemble_lgbm_prior,0.03439350677293852,0.05146354213617904,0.7057471264367816,0.17386598971686829,0.11368287437012103
1,4,2004,2005,2008,8935,8077,858,870,ensemble_lgbm_ridge_prior,0.0351278781606011,0.052791106731338105,0.7137931034482758,0.156226346759488,0.09475819937972274
1,4,2004,2005,2008,8935,8077,858,870,ensemble_lgbm_catboost_xgboost,0.032777906639561157,0.048698175049079896,0.7126436781609196,0.21267279781621495,0.155316723335733
1,4,2004,2005,2008,8935,8077,858,870,ensemble_lgbm_cat_xgb_ridge_prior,0.03331725125324149,0.049481817012712245,0.7045977011494253,0.19971770918376053,0.14141786821528823
1,3,2008,2009,2012,9805,8935,870,876,naive_persistence,0.05713280290365219,0.08581165969371796,0.4828767123287671,0.0,-0.7082884311676025
1,3,2008,2009,2012,9805,8935,870,876,ar1_lag1_honest,0.033444471657276154,0.06138515844941139,0.7579908675799086,0.41461873054504395,0.0
1,3,2008,2009,2012,9805,8935,870,876,ridge,0.03701232746243477,0.06464192271232605,0.6335616438356164,0.35217028856277466,-0.10668003559112549
1,3,2008,2009,2012,9805,8935,870,876,lgbm,0.029817443550742118,0.05964232934071257,0.7636986301369864,0.4781029104938933,0.10844925713589326
1,3,2008,2009,2012,9805,8935,870,876,catboost,0.030778458740306443,0.06038406734638093,0.7180365296803652,0.4612821850835723,0.07971460707437117
1,3,2008,2009,2012,9805,8935,870,876,xgboost,0.031920745968818665,0.06137196719646454,0.6860730593607306,0.44128865003585815,0.04555988311767578
1,3,2008,2009,2012,9805,8935,870,876,ensemble_lgbm_prior,0.03119151369663241,0.06083967528171682,0.702054794520548,0.45405245128208993,0.06736413670190522
1,3,2008,2009,2012,9805,8935,870,876,ensemble_lgbm_ridge_prior,0.033924835523820515,0.06246876993706864,0.639269406392694,0.40621090162457474,-0.014363027512197313
1,3,2008,2009,2012,9805,8935,870,876,ensemble_lgbm_catboost_xgboost,0.029914725325557466,0.05967626463700833,0.7317351598173516,0.47640017984055216,0.1055405021161624
1,3,2008,2009,2012,9805,8935,870,876,ensemble_lgbm_cat_xgb_ridge_prior,0.03050316662091757,0.06002068280178248,0.723744292237443,0.466100644976974,0.08794592620567465
1,2,2012,2013,2016,10681,9805,876,876,naive_persistence,0.03330588340759277,0.06466513127088547,0.704337899543379,0.0,-0.20930862426757812
1,2,2012,2013,2016,10681,9805,876,876,ar1_lag1_honest,0.027541261166334152,0.04736927151679993,0.7819634703196348,0.17308121919631958,0.0
1,2,2012,2013,2016,10681,9805,876,876,ridge,0.03126618638634682,0.051274728029966354,0.6792237442922374,0.061241328716278076,-0.13524889945983887
