horizon,mae_hamilton_ms,mae_ar1_baseline,mu_state0,mu_state1,p00,p11
1,0.027919477650529413,0.027693237364292144,0.011110430296656584,0.006669139330033822,0.6458978911937368,0.4609046533724512
3,0.06653879324167412,0.06639753580093384,0.0396973198807066,0.026261620379888558,0.646505511458983,0.4453306972513757
5,0.0893693445844264,0.09410688430070877,0.07129538597877372,0.049417376933303156,0.6522207136482427,0.45438843180738864
