horizon,fold,n_test,mae_hamilton_ms,mae_ar1_baseline,mu_state0,mu_state1,sigma_state0,sigma_state1,p00,p11,dm_stat,dm_p
1,0,652,0.04355907680948832,0.043440088629722595,0.01024699262785337,0.007326194750608284,0.020803834226467137,0.05989348593110641,0.6559617636395543,0.4590339362633418,-1.8654991435292003,0.062111472136148205
1,1,667,0.018244273975450156,0.01810370199382305,0.011002349164843953,0.006910969288601,0.021935807952467214,0.06081642728307815,0.6507321231273853,0.4563811149475542,-0.11072124794403986,0.9118373961543791
1,2,661,0.020044881298031628,0.019956566393375397,0.011790465390977395,0.006423818657151954,0.022721156116277577,0.061901568531388555,0.6449908630076058,0.457935228928412,0.07432936291727722,0.940748313418772
1,3,668,0.03191213504593889,0.03188132494688034,0.011305971474340447,0.0071531310095366354,0.02238842648382382,0.06203142208449243,0.6453313533203742,0.4639530412335118,0.5230623000804697,0.6009308996114435
1,4,666,0.02583702112373806,0.02508450485765934,0.011206372825267761,0.005531582944271233,0.02327276527157202,0.06286014285843021,0.6324733528737642,0.46721994548943613,-2.587989126501775,0.00965380280021022
3,0,495,0.07676392487053982,0.06677737832069397,0.03651228166879548,0.025857791305907346,0.05973710392399952,0.13413537761559655,0.6555451557621624,0.43827300176865897,-6.176763089656767,6.542912878160223e-10
3,1,663,0.061824636513922525,0.06548242270946503,0.03999361314818577,0.027464300315055756,0.060104996059138896,0.13558755146397267,0.6541418741732413,0.44130883308975816,4.528149282126516,5.950254025055557e-06
3,2,665,0.05425887093073835,0.056357964873313904,0.04099092707654296,0.027578879061336294,0.06224600492908425,0.13647738788110672,0.645316051691519,0.4429291033485141,-0.38848852249270394,0.6976545461437325
3,3,668,0.06871965064660035,0.06766616553068161,0.04028992157726493,0.027215312291756468,0.061501565632071466,0.13691765896363406,0.6366838764038055,0.45258770413186017,-1.7413168536746253,0.08162805357632852
3,4,666,0.07112688324656956,0.07570374757051468,0.040699855932743854,0.023191818925386912,0.0625137302708844,0.1403057817776502,0.6408405992641872,0.45155484391808703,3.332424088112646,0.0008609295400610062
5,0,166,0.07500150113234033,0.08239101618528366,0.06403517492752579,0.05089479279484892,0.092413913362461,0.19786884157303458,0.6597031609093966,0.44719481046711546,0.9382661468192426,0.3481076525192819
5,1,665,0.08730338411804067,0.09472096711397171,0.07201517232676222,0.05051230658571631,0.09393334558501513,0.20068219069747226,0.6614325633588031,0.4493847959817301,3.612778802431283,0.0003029331105246502
5,2,666,0.08600244686002596,0.08831679821014404,0.0729430867912312,0.0513981792398217,0.096687824397916,0.20193330570184265,0.6519706836066061,0.45155745915661544,-0.8492469863282898,0.39574387305576963
5,3,668,0.09802696369423387,0.09941242635250092,0.07219022725455747,0.050940039637430004,0.09703190521727358,0.2030571310843209,0.6440828982360107,0.45928986276723477,0.05414348014213443,0.9568208508873486
5,4,666,0.10051242711749114,0.10569321364164352,0.07529326859379191,0.04334156640869885,0.09807459325825349,0.2073115942888945,0.6439142621303969,0.4645152306642474,1.3314989569497362,0.18302488797395888
