horizon_years,target_variable,feature_name,importance
1 Year,goldstein_annual_mean_1y_fwd,news_tone_annual_mean,0.0
1 Year,goldstein_annual_mean_1y_fwd,material_conflict_annual_sum_lag5,0.0
1 Year,goldstein_annual_mean_1y_fwd,protest_unrest_annual_sum,0.0
1 Year,goldstein_annual_mean_1y_fwd,sov_debt_crisis,0.0
1 Year,goldstein_annual_mean_1y_fwd,unemployment_rate,0.0
5 Year,goldstein_annual_mean_5y_fwd,goldstein_annual_mean,325.2
5 Year,goldstein_annual_mean_5y_fwd,goldstein_annual_mean_lag5,290.4
5 Year,goldstein_annual_mean_5y_fwd,news_tone_annual_mean_lag1,126.0
5 Year,goldstein_annual_mean_5y_fwd,goldstein_annual_mean_lag1,97.6
5 Year,goldstein_annual_mean_5y_fwd,stability_momentum_annual_mean,96.6
5 Year,goldstein_annual_mean_5y_fwd,news_tone_annual_mean_lag5,74.8
5 Year,goldstein_annual_mean_5y_fwd,gdp_pc_lag1,24.4
5 Year,goldstein_annual_mean_5y_fwd,conflict_intensity_annual_mean,19.6
5 Year,goldstein_annual_mean_5y_fwd,material_conflict_annual_sum_lag1,16.6
5 Year,goldstein_annual_mean_5y_fwd,protest_unrest_annual_sum,11.2
5 Year,goldstein_annual_mean_5y_fwd,gdp_pc_lag5,9.0
5 Year,goldstein_annual_mean_5y_fwd,exports_gdp,5.0
5 Year,goldstein_annual_mean_5y_fwd,material_conflict_annual_sum_lag5,4.8
5 Year,goldstein_annual_mean_5y_fwd,unemployment_rate,4.8
5 Year,goldstein_annual_mean_5y_fwd,material_conflict_annual_sum,4.2
5 Year,goldstein_annual_mean_5y_fwd,gov_debt_gdp_lag1,3.8
5 Year,goldstein_annual_mean_5y_fwd,news_tone_annual_mean,2.0
5 Year,goldstein_annual_mean_5y_fwd,gov_debt_gdp,1.8
5 Year,goldstein_annual_mean_5y_fwd,inflation_rate_lag1,1.0
5 Year,goldstein_annual_mean_5y_fwd,inflation_rate,0.6
5 Year,goldstein_annual_mean_5y_fwd,investment_gdp,0.4
5 Year,goldstein_annual_mean_5y_fwd,gov_deficit_gdp,0.2
5 Year,goldstein_annual_mean_5y_fwd,current_account_gdp,0.0
5 Year,goldstein_annual_mean_5y_fwd,currency_crisis,0.0
5 Year,goldstein_annual_mean_5y_fwd,banking_crisis,0.0
5 Year,goldstein_annual_mean_5y_fwd,sov_debt_crisis,0.0
1 Year,material_conflict_annual_sum_1y_fwd,material_conflict_annual_sum,606.2
1 Year,material_conflict_annual_sum_1y_fwd,material_conflict_annual_sum_lag1,245.8
1 Year,material_conflict_annual_sum_1y_fwd,material_conflict_annual_sum_lag5,120.6
1 Year,material_conflict_annual_sum_1y_fwd,news_tone_annual_mean_lag1,19.4
1 Year,material_conflict_annual_sum_1y_fwd,news_tone_annual_mean_lag5,18.4
1 Year,material_conflict_annual_sum_1y_fwd,news_tone_annual_mean,17.8
1 Year,material_conflict_annual_sum_1y_fwd,conflict_intensity_annual_mean,16.0
1 Year,material_conflict_annual_sum_1y_fwd,gov_deficit_gdp,12.0
1 Year,material_conflict_annual_sum_1y_fwd,protest_unrest_annual_sum,9.2
1 Year,material_conflict_annual_sum_1y_fwd,exports_gdp,9.0
1 Year,material_conflict_annual_sum_1y_fwd,gdp_pc_lag5,8.4
1 Year,material_conflict_annual_sum_1y_fwd,gov_debt_gdp,8.2
1 Year,material_conflict_annual_sum_1y_fwd,gdp_pc_lag1,7.8
1 Year,material_conflict_annual_sum_1y_fwd,current_account_gdp,5.2
1 Year,material_conflict_annual_sum_1y_fwd,inflation_rate,3.2
1 Year,material_conflict_annual_sum_1y_fwd,stability_momentum_annual_mean,3.0
1 Year,material_conflict_annual_sum_1y_fwd,investment_gdp,2.6
1 Year,material_conflict_annual_sum_1y_fwd,goldstein_annual_mean_lag5,2.4
1 Year,material_conflict_annual_sum_1y_fwd,inflation_rate_lag1,2.0
1 Year,material_conflict_annual_sum_1y_fwd,goldstein_annual_mean,1.2
1 Year,material_conflict_annual_sum_1y_fwd,unemployment_rate,0.8
1 Year,material_conflict_annual_sum_1y_fwd,goldstein_annual_mean_lag1,0.6
1 Year,material_conflict_annual_sum_1y_fwd,gov_debt_gdp_lag1,0.2
1 Year,material_conflict_annual_sum_1y_fwd,banking_crisis,0.0
1 Year,material_conflict_annual_sum_1y_fwd,currency_crisis,0.0
1 Year,material_conflict_annual_sum_1y_fwd,sov_debt_crisis,0.0
5 Year,material_conflict_annual_sum_5y_fwd,material_conflict_annual_sum,473.2
5 Year,material_conflict_annual_sum_5y_fwd,material_conflict_annual_sum_lag5,213.6
5 Year,material_conflict_annual_sum_5y_fwd,material_conflict_annual_sum_lag1,186.2
5 Year,material_conflict_annual_sum_5y_fwd,news_tone_annual_mean,35.6
5 Year,material_conflict_annual_sum_5y_fwd,news_tone_annual_mean_lag1,35.6
5 Year,material_conflict_annual_sum_5y_fwd,goldstein_annual_mean_lag5,33.2
5 Year,material_conflict_annual_sum_5y_fwd,conflict_intensity_annual_mean,27.6
5 Year,material_conflict_annual_sum_5y_fwd,gdp_pc_lag5,24.6
5 Year,material_conflict_annual_sum_5y_fwd,news_tone_annual_mean_lag5,17.0
5 Year,material_conflict_annual_sum_5y_fwd,protest_unrest_annual_sum,15.2
5 Year,material_conflict_annual_sum_5y_fwd,goldstein_annual_mean_lag1,14.8
5 Year,material_conflict_annual_sum_5y_fwd,exports_gdp,12.4
5 Year,material_conflict_annual_sum_5y_fwd,stability_momentum_annual_mean,9.8
5 Year,material_conflict_annual_sum_5y_fwd,goldstein_annual_mean,6.8
5 Year,material_conflict_annual_sum_5y_fwd,inflation_rate,4.4
5 Year,material_conflict_annual_sum_5y_fwd,gdp_pc_lag1,4.4
5 Year,material_conflict_annual_sum_5y_fwd,investment_gdp,3.2
5 Year,material_conflict_annual_sum_5y_fwd,gov_deficit_gdp,1.2
5 Year,material_conflict_annual_sum_5y_fwd,current_account_gdp,0.6
5 Year,material_conflict_annual_sum_5y_fwd,inflation_rate_lag1,0.4
5 Year,material_conflict_annual_sum_5y_fwd,gov_debt_gdp,0.2
5 Year,material_conflict_annual_sum_5y_fwd,banking_crisis,0.0
5 Year,material_conflict_annual_sum_5y_fwd,currency_crisis,0.0
5 Year,material_conflict_annual_sum_5y_fwd,gov_debt_gdp_lag1,0.0
5 Year,material_conflict_annual_sum_5y_fwd,sov_debt_crisis,0.0
5 Year,material_conflict_annual_sum_5y_fwd,unemployment_rate,0.0
