target_variable,feature_name,importance
material_conflict_annual_sum_1y_fwd,goldstein_annual_std,11.0
material_conflict_annual_sum_1y_fwd,disaster_economic_damage_usd,10.2
material_conflict_annual_sum_1y_fwd,disaster_economic_damage_usd_roll_mean_10y,7.6
material_conflict_annual_sum_1y_fwd,gdp_pc_real_usd_logret5,7.2
material_conflict_annual_sum_1y_fwd,unemployment_rate,3.8
material_conflict_annual_sum_1y_fwd,greenhouse_gas_total_kt,2.4
material_conflict_annual_sum_1y_fwd,temp_anomaly_celsius_roll_mean_10y,2.2
material_conflict_annual_sum_1y_fwd,storms_count,1.6
material_conflict_annual_sum_1y_fwd,wildfires_count,1.4
material_conflict_annual_sum_1y_fwd,floods_count,1.0
material_conflict_annual_sum_1y_fwd,extreme_temp_count,0.6
material_conflict_annual_sum_1y_fwd,renewable_energy_pct_share,0.4
material_conflict_annual_sum_1y_fwd,co2_emissions_per_capita,0.4
material_conflict_annual_sum_1y_fwd,protected_area_pct,0.4
material_conflict_annual_sum_1y_fwd,energy_use_per_capita,0.4
material_conflict_annual_sum_1y_fwd,co2_emissions_per_capita_roll_mean_10y,0.2
material_conflict_annual_sum_1y_fwd,banking_crisis,0.0
material_conflict_annual_sum_1y_fwd,currency_crisis,0.0
material_conflict_annual_sum_1y_fwd,forest_area_pct_land,0.0
material_conflict_annual_sum_1y_fwd,droughts_count,0.0
material_conflict_annual_sum_1y_fwd,temp_anomaly_celsius,0.0
material_conflict_annual_sum_1y_fwd,sov_debt_crisis,0.0
goldstein_annual_mean_1y_fwd,goldstein_annual_mean,804.6
goldstein_annual_mean_1y_fwd,temp_anomaly_celsius_roll_mean_10y,141.4
goldstein_annual_mean_1y_fwd,goldstein_annual_std,125.4
goldstein_annual_mean_1y_fwd,co2_emissions_per_capita_roll_mean_10y,108.8
goldstein_annual_mean_1y_fwd,stability_momentum_annual_mean,79.2
goldstein_annual_mean_1y_fwd,news_tone_annual_mean,67.8
goldstein_annual_mean_1y_fwd,gdp_pc_real_usd_logret5,12.8
goldstein_annual_mean_1y_fwd,inflation_rate,11.4
goldstein_annual_mean_1y_fwd,exports_gdp,10.2
goldstein_annual_mean_1y_fwd,temp_anomaly_celsius,9.6
goldstein_annual_mean_1y_fwd,gov_debt_gdp,4.6
goldstein_annual_mean_1y_fwd,protest_unrest_annual_sum,3.8
goldstein_annual_mean_1y_fwd,current_account_gdp,3.0
goldstein_annual_mean_1y_fwd,unemployment_rate,2.6
goldstein_annual_mean_1y_fwd,energy_use_per_capita,2.4
goldstein_annual_mean_1y_fwd,conflict_intensity_annual_mean,2.0
goldstein_annual_mean_1y_fwd,investment_gdp,2.0
goldstein_annual_mean_1y_fwd,verbal_conflict_annual_sum,1.4
goldstein_annual_mean_1y_fwd,gov_deficit_gdp,1.2
goldstein_annual_mean_1y_fwd,co2_emissions_per_capita,1.2
goldstein_annual_mean_1y_fwd,renewable_energy_pct_share,1.2
goldstein_annual_mean_1y_fwd,disaster_economic_damage_usd,1.0
goldstein_annual_mean_1y_fwd,material_conflict_annual_sum,0.8
goldstein_annual_mean_1y_fwd,sanctions_coercion_annual_sum,0.6
goldstein_annual_mean_1y_fwd,forest_area_pct_land,0.4
goldstein_annual_mean_1y_fwd,greenhouse_gas_total_kt,0.2
goldstein_annual_mean_1y_fwd,disaster_economic_damage_usd_roll_mean_10y,0.2
goldstein_annual_mean_1y_fwd,floods_count,0.2
goldstein_annual_mean_1y_fwd,banking_crisis,0.0
goldstein_annual_mean_1y_fwd,droughts_count,0.0
goldstein_annual_mean_1y_fwd,extreme_temp_count,0.0
goldstein_annual_mean_1y_fwd,currency_crisis,0.0
goldstein_annual_mean_1y_fwd,protected_area_pct,0.0
goldstein_annual_mean_1y_fwd,sov_debt_crisis,0.0
goldstein_annual_mean_1y_fwd,storms_count,0.0
goldstein_annual_mean_1y_fwd,wildfires_count,0.0
co2_emissions_per_capita_target_h1,co2_emissions_per_capita_roll_mean_10y,245.0
co2_emissions_per_capita_target_h1,temp_anomaly_celsius_roll_mean_10y,222.4
co2_emissions_per_capita_target_h1,energy_use_per_capita,108.2
