horizon,fold,n_test,mae_eco,mae_conformal,mae_hard_routed,mae_solution_v2,mae_oracle_v2,dm_stat,dm_p
1,0,652,0.04076182683075613,0.040970139670805955,0.04026903049898848,0.04081337994626976,0.03312161365062231,1.802609113005916,0.07144962482086958
1,1,667,0.018268489587430478,0.018457811378214343,0.017635643652011018,0.01826470165540682,0.012093315870500143,0.04999707319154174,0.9601247206614616
1,2,661,0.01972333311285855,0.01987842852077161,0.020296443304657363,0.019503897204946705,0.012122354112924331,0.7888482380176627,0.4302007119890341
1,3,668,0.030961156416353847,0.03235498964982766,0.03240615239387983,0.03164404624306661,0.023653071221985223,-2.6477977774297465,0.008101797259942867
1,4,666,0.023817328290569886,0.024338110826748968,0.023214505966974816,0.023918452094839764,0.015630299252342526,0.315844227081534,0.7521207467256843
3,0,495,0.0748751019636935,0.07057711071218334,0.07033882275828354,0.07156533154018613,0.04891678541893248,5.425337055324743,5.784527901120384e-08
3,1,663,0.05751122143153501,0.05859385062355631,0.0577853493779139,0.05777145153412942,0.04088454896917312,-1.8281899846938943,0.06752104359606248
3,2,665,0.04964320506997466,0.04896440850132721,0.048893131161537054,0.0484750292523704,0.03231677714542143,1.831807471840306,0.0669801096579401
3,3,668,0.06184141990389056,0.0621882514834309,0.06334503610367244,0.06121439156693813,0.04109078075963522,0.005652506666001634,0.9954899762178766
3,4,666,0.06306874075543359,0.06011471220444351,0.059413166593485355,0.06010881898490442,0.03882377981769402,3.270126476001124,0.0010749940877299302
5,0,166,0.06105111148384083,0.06205907244665539,0.05857498101258296,0.060923512258106965,0.039514320445242286,-1.0779374054800188,0.2810616910706387
5,1,665,0.08794251510030703,0.0870958897642598,0.08799336188729352,0.08671070094215852,0.05976375777410481,1.7495943936454506,0.08018832782870788
5,2,666,0.0769903074146582,0.07405109510326986,0.07332522572659315,0.07409273045277978,0.04999381624729884,3.711030978011839,0.00020641683884758955
5,3,668,0.08186691408204248,0.08375948899507617,0.0809123244598036,0.08186986402982245,0.05476698358366052,0.48925992615106445,0.6246576883194124
5,4,666,0.08392504814665601,0.08855435879432723,0.08618943291387984,0.08439138230715723,0.053641594428423964,-0.8457575950450967,0.3976879858802531
