trial,mae,n_estimators,learning_rate,num_leaves,min_child_samples,subsample,colsample_bytree,reg_alpha,reg_lambda,boosting_type,random_state,n_jobs,verbosity
50,0.13719201470578407,2261,0.04033278570693874,75,13,0.6939542401840081,0.9625416589462561,0.03678563395182345,0.007537158051010087,gbdt,0,-1,-1
51,0.13553106733867448,2866,0.02893843793150005,71,26,0.5987403011454193,0.8506415035829102,0.008121167355145715,3.2206257879608895,gbdt,0,-1,-1
52,0.14030289059962214,2493,0.025474373622455377,94,34,0.5668609798941697,0.9015976588825485,0.007466239708842578,0.3865436214965347,gbdt,0,-1,-1
53,0.13964921412350598,3179,0.02133155434166546,82,28,0.6031512435592874,0.8657022248327404,0.005206758650037718,0.2637139816412807,gbdt,0,-1,-1
54,0.13788286706017278,2824,0.018362930618985703,88,8,0.6688830674338629,0.8367795529782374,0.020227734720083518,0.5646121401481363,gbdt,0,-1,-1
55,0.13617231790520673,2999,0.028345487789429955,67,19,0.6335208494955711,0.9189418559040982,0.003922252466485285,0.001155590027974286,gbdt,0,-1,-1
56,0.14434481853945913,3438,0.036234481246505204,58,90,0.7224643956963588,0.5338114009000454,0.012185124362053256,0.12294109425451659,gbdt,0,-1,-1
57,0.14192067842480746,2157,0.04545374561711013,94,16,0.5615581524244413,0.7536112527178077,1.3254320463411327,0.0022422224198647197,gbdt,0,-1,-1
58,0.14047082992709292,2561,0.05021525284239185,71,44,0.7530780948420797,0.8873217685843735,0.016649443477047138,1.8059640784850068,gbdt,0,-1,-1
59,0.13582118921257655,2784,0.0313308605894078,122,25,0.957463815479373,0.816854243484512,0.025045696985518992,0.0053050829603591195,gbdt,0,-1,-1
60,0.14225882444418064,2712,0.032943798232785856,127,38,0.9650273748335262,0.5740576472488254,0.02506564892969476,0.01036751688253286,gbdt,0,-1,-1
61,0.13656792653170233,2952,0.03681998266112958,112,30,0.8892292613143371,0.7745593027885399,0.008619451823431686,0.005182895908186733,gbdt,0,-1,-1
62,0.1369572573472759,2365,0.02967133147108169,87,26,0.9438817266639559,0.8192862011925404,0.029547524631323513,0.0028929921068328985,gbdt,0,-1,-1
63,0.13674705903388748,3107,0.020663878233226605,121,20,0.8698477335560691,0.8422164454579362,0.05131111069394934,0.0037452506494815713,gbdt,0,-1,-1
64,0.13754148721282103,3355,0.025277634143928973,80,12,0.9922139888444436,0.7965664415552512,0.10554427089256857,0.02266188660598064,gbdt,0,-1,-1
65,0.13835165003732716,1894,0.015468702213825779,122,6,0.9096856637709408,0.872811533504622,0.016489342914083185,0.05050924494360782,gbdt,0,-1,-1
66,0.13660099724205846,2775,0.03941265591362334,67,16,0.9711584733930819,0.8158152954908553,0.002402363812663409,0.002004936036682832,gbdt,0,-1,-1
67,0.1422228557791668,3609,0.059500780575308755,116,7,0.593023601193406,0.9603123872881807,0.013558434682004971,0.006223407054568069,gbdt,0,-1,-1
68,0.1373534475096493,1689,0.018744313722762578,75,24,0.6188318387372329,0.7837917048690486,0.010411999984939347,0.008578166679381119,gbdt,0,-1,-1
69,0.13859893104868934,3248,0.022067854865950882,101,33,0.5264047291766816,0.8503672680823995,0.0013146011289949535,0.01389806088420662,gbdt,0,-1,-1
70,0.1390572980263322,2926,0.049555767252338886,86,22,0.6705164173944111,0.7639767993645695,0.07551732426310147,0.07326819854849301,gbdt,0,-1,-1
71,0.13705865763608638,2865,0.02740540198370125,70,27,0.6459234368419554,0.8561259955337437,0.007234830284091445,4.618978667651557,gbdt,0,-1,-1
72,0.13737123172929475,2630,0.04247913010569897,64,25,0.5802416534062412,0.8829221666599746,0.009308927430371702,4.511680896990062,gbdt,0,-1,-1
73,0.13542593808834708,3050,0.029839896985111865,75,18,0.6061253334331154,0.7395710245873172,0.02234474637189028,2.5168775883294856,gbdt,0,-1,-1
74,0.13885595575582835,3088,0.032193434610902565,90,16,0.6876064354978104,0.7880299999434756,0.020991298676311027,2.091410981652368,gbdt,0,-1,-1
75,0.1360267452501239,3184,0.03566848574906691,84,11,0.7136592106644617,0.7456978601090197,0.04646887770695896,2.829905221345338,gbdt,0,-1,-1
76,0.1349796368941473,3039,0.02374492480025177,75,18,0.9364946204211618,0.7384773682707173,0.03202440279777461,0.8006280612310493,gbdt,0,-1,-1
77,0.13539350738752684,3018,0.02415679105019212,59,18,0.9407218747049587,0.70269345266279,0.032429017049043295,1.2082228629318532,gbdt,0,-1,-1
78,0.13491227830313313,3386,0.02385311027902209,56,17,0.9363826772710098,0.7124513836444484,0.03634069275660506,1.455802453731681,gbdt,0,-1,-1
79,0.13566957487195705,3402,0.025493916877970806,50,18,0.932179743425555,0.7079860322192209,0.03154180154958303,1.4110157786370883,gbdt,0,-1,-1
80,0.13380839239881237,3520,0.023167045074207426,57,20,0.9065464948049213,0.6544437397531462,0.014159697522792449,0.8803035598315923,gbdt,0,-1,-1
81,0.13539749465474962,3770,0.024437415424051052,56,21,0.9082071834016032,0.6398747836727333,0.014665956251267544,0.9028704440022275,gbdt,0,-1,-1
82,0.135134891579706,3699,0.02429972264117479,58,21,0.9097831241429104,0.642354668516193,0.014691846668041403,0.9184824209086352,gbdt,0,-1,-1
83,0.1365951480555338,3756,0.023716221937875828,53,21,0.9106482339208692,0.6385273544792044,0.014341892163467365,0.9025109174624057,gbdt,0,-1,-1
84,0.1374630756345055,3881,0.026477629811062275,58,15,0.9034657005623156,0.6703197085471794,0.035095119900151635,0.6730533617668255,gbdt,0,-1,-1
85,0.13598458929640583,3663,0.024189107246347673,44,19,0.9284791531380663,0.6971899259618836,0.019782583305593595,1.1309415705305577,gbdt,0,-1,-1
86,0.13640369945177605,3536,0.02189770378862685,55,29,0.8712142046457643,0.5938166055882539,0.026527769223807878,0.5173798777713619,gbdt,0,-1,-1
87,0.13547549555204144,3820,0.018107468686512685,46,23,0.9395565391170676,0.6389197666550014,0.015301579513813808,0.9119671529885952,gbdt,0,-1,-1
88,0.13561383437628463,3981,0.02354864103102356,38,18,0.9737623485203415,0.6816709576831088,0.010931662369205222,1.652794605946354,gbdt,0,-1,-1
89,0.13570914505539577,3474,0.030822939377577623,50,13,0.9497205901207096,0.7387630097916855,0.055172472532455705,2.8233922659442663,gbdt,0,-1,-1
90,0.137398326759338,3729,0.026665284503403778,61,36,0.9192451706120507,0.7161037236016243,0.005869470468817132,1.2919268773995176,gbdt,0,-1,-1
91,0.136427297647081,3832,0.017559286681135995,42,23,0.9403343008399111,0.6366619895635247,0.015108410638240422,0.8572530622127925,gbdt,0,-1,-1
