trial,mae,n_estimators,learning_rate,num_leaves,min_child_samples,subsample,colsample_bytree,reg_alpha,reg_lambda,boosting_type,random_state,n_jobs,verbosity
112,0.02362699512919531,3431,0.06503027162254638,33,71,0.6469687185628397,0.6952279160006488,0.2859733965877155,0.002235022072150868,gbdt,0,-1,-1
113,0.023207955216544954,3658,0.14755016655659808,23,62,0.6534647108080419,0.6736508026012386,0.24173388245379576,0.001668301440300656,gbdt,0,-1,-1
114,0.02303753932554431,3218,0.04672184000172402,25,73,0.5137199929332413,0.6286664511799179,1.0988117570897262,0.001644294354576843,gbdt,0,-1,-1
115,0.022727514335300215,3558,0.010023614553628506,15,66,0.6113584570140154,0.5829658119190915,0.9182488659165539,0.04189592116931811,gbdt,0,-1,-1
116,0.02283793178261233,3365,0.010554103023285886,16,59,0.5520936755180673,0.5878743712454516,0.8899168218001602,0.0407863895367967,gbdt,0,-1,-1
117,0.023241743770013038,3504,0.010096463210692186,19,76,0.6200717793682622,0.5808451830194171,1.3992612027918552,0.026212753866330606,gbdt,0,-1,-1
118,0.0227123681694448,2966,0.01374659904148177,15,65,0.6079698101926253,0.5491991543583904,0.5439936880833103,0.020528789889691017,gbdt,0,-1,-1
119,0.022793123634010988,2953,0.01380441593901052,20,59,0.6096618700918823,0.5583719078034173,0.6873669248424944,0.0619283669656004,gbdt,0,-1,-1
120,0.022559187727591405,2875,0.015461888986826865,15,65,0.6364126062241778,0.5160481286866787,1.1017117193538526,0.01565953662457494,gbdt,0,-1,-1
121,0.02301139098092336,2868,0.014889961734828818,15,66,0.6763583292799322,0.5298705694010437,0.004559900844556566,0.02036017849413601,gbdt,0,-1,-1
122,0.022571134893318304,3126,0.020300168260457958,17,64,0.6355815031173061,0.5685597653494376,1.2160871186367515,0.010596903503533919,gbdt,0,-1,-1
123,0.023076570275795676,3163,0.016378936668741354,15,54,0.6327494731899479,0.5040380629465419,1.1296293723589472,0.010981111970445026,gbdt,0,-1,-1
124,0.023210530720499285,3023,0.020370332652005333,17,56,0.6029633864523105,0.5085927452025633,3.6386921316407954,0.016263097787395705,gbdt,0,-1,-1
125,0.023332866080897498,3109,0.018534834936085546,22,63,0.6223149343532497,0.5507271558718938,2.15947990024078,0.00788727588669203,gbdt,0,-1,-1
126,0.022693187182462517,2895,0.017653100396414403,19,60,0.5717998620781395,0.5690131747802802,1.5164110707129697,0.005824858089285282,gbdt,0,-1,-1
127,0.022492557117904332,2807,0.01564635928632531,18,65,0.5715811624816877,0.5664693620013764,1.517527425412278,0.005960929144154753,gbdt,0,-1,-1
128,0.023018993155769607,2634,0.022352459134214724,19,60,0.5899551722670444,0.5350584368506499,1.5101083611112087,0.008633240314355542,gbdt,0,-1,-1
129,0.023001811140957062,2855,0.017807766559279625,17,51,0.5663877511342996,0.5125844961348649,2.205057468730107,0.006254548450094452,gbdt,0,-1,-1
130,0.02331187311828355,2709,0.015907263874698437,21,64,0.971665653652669,0.5676548912533036,2.926584162182679,0.005350948647598066,gbdt,0,-1,-1
131,0.022918334599034765,2798,0.014650846919772267,15,69,0.6057278429846431,0.5460118189179759,1.266550711579131,0.012586163627398388,gbdt,0,-1,-1
132,0.022655005640416895,2927,0.013422018302513829,23,65,0.639603257023321,0.5601573650715816,0.9775213348702556,0.006902030651044968,gbdt,0,-1,-1
133,0.022791815870105498,2925,0.013445587440478912,23,65,0.636720586244382,0.5170501593574283,1.777485296156394,0.006605669389902797,gbdt,0,-1,-1
134,0.0232042007715479,2758,0.017305334813833888,18,44,0.6514093851918835,0.5614301012611645,0.9434589882307339,0.004647340173917143,gbdt,0,-1,-1
135,0.022842243653824566,2553,0.015385958487874501,20,61,0.5781900084326609,0.5189922906078194,2.488564651919813,0.010320425878602942,gbdt,0,-1,-1
136,0.023471732701342923,3074,0.020531051307076505,90,56,0.6236674641592131,0.5762311392755407,1.4477770308393896,0.014757944547586062,gbdt,0,-1,-1
