iter	MAE
327	0.167091729
328	0.1669431204
329	0.1668057622
330	0.1666128066
331	0.1665273244
332	0.1663928692
333	0.166325579
334	0.1662098756
335	0.1660268051
336	0.1659031877
337	0.1658002787
338	0.1657100411
339	0.1655617738
340	0.1653948604
341	0.1652868482
342	0.1652375062
343	0.1641493259
344	0.1640791546
345	0.1639194325
346	0.163747669
347	0.1636571633
348	0.1634544944
349	0.163360284
350	0.1629597039
351	0.1628927817
352	0.1627892089
353	0.1627297677
354	0.1626620889
355	0.1625433497
356	0.1624952862
357	0.1624120475
358	0.162355898
359	0.1621797644
360	0.1620318405
361	0.1618818661
362	0.1616779259
363	0.1615890008
364	0.1614849752
365	0.1607566474
366	0.1606628916
367	0.1601182318
368	0.1600481853
369	0.1598678444
370	0.1597593925
371	0.1596974112
372	0.159619935
373	0.159501129
374	0.1594176441
375	0.1593378411
376	0.1591971332
377	0.1591140586
378	0.1589937112
379	0.1589296452
380	0.1588638022
381	0.1587571681
382	0.1586917812
383	0.1585253233
384	0.1582180977
385	0.1580448696
386	0.1579515921
387	0.1578841403
388	0.1577842059
389	0.1576461034
390	0.1575920017
391	0.1574072971
392	0.1567076524
393	0.156530098
394	0.1564124391
395	0.1563734504
396	0.1562957964
397	0.1561428711
398	0.156045692
399	0.156009497
400	0.1556677257
401	0.1555563582
402	0.1554803943
403	0.1553978932
404	0.1553346671
405	0.1552719284
406	0.15516538
407	0.1551067271
408	0.1549901066
409	0.1549299878
410	0.1548400145
411	0.1547453562
412	0.1546723753
413	0.154601957
414	0.1545014952
415	0.1536069277
416	0.1535538744
417	0.1534811717
418	0.1534630721
419	0.1534094014
420	0.153299195
421	0.1532122474
422	0.153080747
423	0.1530176769
424	0.1529399126
425	0.1528542368
426	0.1528112023
427	0.1527588877
428	0.1526725729
429	0.1525166237
430	0.1524758831
431	0.1524425703
432	0.1523527302
433	0.1516657995
434	0.1516148319
435	0.1515270585
436	0.1514788607
437	0.151413036
438	0.1512291064
439	0.1510508831
440	0.1509451095
441	0.1508603054
442	0.1508143203
443	0.1506447866
444	0.1505894503
445	0.1504709524
446	0.1504049391
447	0.1502707046
448	0.150161232
449	0.1499919955
450	0.1494223752
451	0.1493330355
452	0.1492665054
453	0.1491327344
454	0.1485770991
455	0.1485105881
456	0.1484649794
457	0.1483988423
458	0.1482801832
459	0.148206956
460	0.1480894505
461	0.1480447108
462	0.1479649884
463	0.1478254405
464	0.1477871519
465	0.1477064561
466	0.1476472773
467	0.1475820393
468	0.1474755569
469	0.1472151532
470	0.147133112
471	0.1470927744
472	0.1470283476
473	0.1469803887
474	0.146892603
475	0.1467444744
476	0.1466787242
477	0.1466342317
478	0.1465809903
479	0.1465281041
480	0.1464674223
481	0.1463536037
482	0.1460109708
483	0.1459381454
484	0.1458541453
485	0.145297055
486	0.1452490117
487	0.1451774239
488	0.145131746
489	0.1438025916
490	0.1436772125
491	0.1435931077
492	0.1435392605
493	0.1434567766
494	0.1434172661
495	0.14333675
496	0.1432760599
497	0.1431795099
498	0.1423720468
499	0.1422748324
500	0.1422156979
501	0.1420731201
502	0.1420169965
503	0.1419510611
504	0.1418987378
505	0.1418023775
506	0.1417379751
507	0.1417033686
508	0.141658306
509	0.1415707971
510	0.1414814035
511	0.1414007987
512	0.1413158033
513	0.1412595354
514	0.1412039461
515	0.1411627117
516	0.1411364119
517	0.1410495358
518	0.1409510226
519	0.1408692792
520	0.1407667077
521	0.1407413195
522	0.1406588463
523	0.1405931612
524	0.1405602838
525	0.1405218672
526	0.1404209954
527	0.1402817932
528	0.1402290147
529	0.1394663596
530	0.1394056599
531	0.1393257366
532	0.1392381724
533	0.1390707444
534	0.1390279047
535	0.1389859672
536	0.1388375001
537	0.1387510748
538	0.13867597
539	0.1386109836
540	0.1385181024
541	0.138474207
542	0.1384206524
543	0.138303767
544	0.138271741
545	0.1382291508
546	0.1380813035
547	0.1380016222
548	0.1379419789
549	0.1378936825
550	0.1377742152
551	0.1374129892
552	0.1373480856
553	0.1372421631
554	0.1371689163
555	0.1367821322
556	0.1367534365
557	0.1367056397
558	0.1366574222
559	0.1366316068
560	0.1365894367
561	0.1365588593
562	0.136494488
563	0.136448088
564	0.1364044031
565	0.1361408596
566	0.1360223751
567	0.1359425286
568	0.1359101441
569	0.1358562535
570	0.1357193789
571	0.1356835668
572	0.1356329539
573	0.1356007399
574	0.1355815383
575	0.1355349776
576	0.1354543528
577	0.1354054647
578	0.1353560725
579	0.1353208271
580	0.1352846248
581	0.135233205
582	0.13515802
583	0.13511825
584	0.1350534735
585	0.135033664
586	0.1344037333
587	0.1343567128
588	0.1343180184
589	0.1340702797
590	0.1340113999
591	0.1339707031
592	0.1332254997
593	0.133121468
594	0.1330697763
595	0.1330079629
596	0.1329185053
597	0.1328678405
598	0.1326820788
599	0.1326402498
600	0.1325810491
601	0.132522352
602	0.1324931503
603	0.132364578
604	0.1323200271
605	0.1322395197
606	0.1322095984
607	0.1312602922
608	0.1311384341
609	0.1310961544
610	0.1304043535
611	0.1303536481
612	0.130302286
613	0.1296643892
614	0.1296355716
615	0.1292947058
616	0.1290284874
617	0.1289689486
618	0.1289431181
619	0.1288923664
620	0.1288567654
621	0.128104719
622	0.1280800847
623	0.1280402688
624	0.1279515778
625	0.1278893757
626	0.1278422442
627	0.127775263
628	0.1277181249
629	0.127690129
630	0.1272506963
631	0.1272320938
632	0.1271870714
633	0.1270808668
634	0.1270491208
635	0.1270040641
636	0.1269174372
637	0.1268635506
638	0.1267963367
639	0.126750999
640	0.1266858973
641	0.1266212824
642	0.1265823183
643	0.1265130575
644	0.1264441509
645	0.1264105856
646	0.1263882431
647	0.1263603538
648	0.1263201992
649	0.1263016634
650	0.1262641877
651	0.1262333271
652	0.1262011364
653	0.1261700722
654	0.1256421734
655	0.1256175519
656	0.1255835681
657	0.1255272288
658	0.125489183
659	0.1251444762
660	0.1247042195
661	0.124640222
662	0.1246239816
663	0.12457624
664	0.1245474649
665	0.1245214364
666	0.1243806901
667	0.1242486321
668	0.1241753635
669	0.1241635251
670	0.1241054074
671	0.1240497153
672	0.1239910306
673	0.1239517394
674	0.1238942633
675	0.1238273876
676	0.1236990255
677	0.1236682575
678	0.1236030561
679	0.1235624071
680	0.1235207011
681	0.1234922177
682	0.1234586611
683	0.1233598401
684	0.1233451085
685	0.12330252
686	0.1232757777
687	0.1232180783
688	0.1231880861
689	0.1231392375
690	0.1231001573
691	0.1230761469
692	0.1230560047
693	0.1230159088
694	0.1229547971
695	0.1229213251
696	0.1228964558
697	0.1228388467
698	0.1227948408
699	0.1227700135
700	0.1227361176
701	0.1226718713
702	0.1226449095
703	0.1226180739
704	0.1225722192
705	0.1225135416
706	0.1224425003
707	0.1224167443
708	0.1223913506
709	0.1223473125
710	0.1223009186
711	0.1222878186
712	0.1222544893
713	0.1221809937
714	0.1221350844
715	0.1220906279
716	0.1220584067
717	0.1219906793
718	0.1219568057
719	0.1218946438
720	0.1218048955
721	0.1217673982
722	0.1217258146
723	0.121696407
724	0.1216554528
725	0.1216320718
726	0.1215598564
727	0.1214901782
728	0.1214611347
729	0.1212731993
730	0.1212569058
731	0.1210208656
732	0.1209547409
733	0.120886842
734	0.1208421835
735	0.120763754
736	0.1207229837
737	0.1206866434
738	0.1205896643
739	0.1205579635
740	0.1205033882
741	0.1204809182
742	0.1203978794
743	0.1203730234
744	0.1197445708
745	0.1196370695
746	0.1196183768
747	0.1195553158
748	0.1195170084
749	0.1194714182
750	0.1194087779
751	0.1193537672
752	0.1193048003
753	0.1192781656
754	0.1192520676
755	0.1192260448
756	0.119154717
757	0.1189293317
758	0.1188922515
759	0.1188311171
760	0.118790561
761	0.1186707436
762	0.1186172993
763	0.1185720808
764	0.118524321
765	0.1183717579
766	0.1182670167
767	0.1182212427
768	0.1181954665
769	0.1181692888
770	0.1177797231
771	0.1176823897
772	0.1176624982
773	0.117603832
774	0.1175567999
775	0.1175410943
776	0.1175008594
777	0.1174909349
778	0.1174464692
779	0.1174206662
780	0.1173902686
781	0.1173636931
782	0.1173349348
783	0.1172672758
784	0.1172388943
785	0.1171639025
786	0.1171420972
787	0.1170675209
788	0.1170479043
789	0.1170059203
790	0.1168707287
791	0.1168279449
792	0.1168010797
793	0.116761972
794	0.1167303268
795	0.1167146163
796	0.1166875349
797	0.1166606555
798	0.1166224775
799	0.1165419475
