horizon,mae_eco,mae_uniform,mae_meta_reg_hard,mae_meta_reg_soft,mae_hybrid_calibrated,mae_oracle,imp_uniform_pct,imp_meta_hard_pct,imp_hybrid_pct,imp_oracle_pct
1,0.026568971332419273,0.026517504438855394,0.026637988646081735,0.02663407836849279,0.026699504628777505,0.023226652746603176,0.19371052390379753,-0.2597666006671746,-0.4912997749331602,12.579781670876446
3,0.060356854457832385,0.0596023067982666,0.060146162756059704,0.060167300601457585,0.060196110606193544,0.050863809949572646,1.2501441076471953,0.34907667681700993,0.26632244685836387,15.728196231451964
5,0.07994226616183611,0.07860155800862785,0.07970020033611251,0.07973864110561149,0.07942948639392852,0.0651812966874424,1.6770955060169492,0.3028008053131233,0.6414376180799177,18.464537200523473
