horizon,imputer,val_mae,test_mae,test_dir_acc
5,median,0.12068529427051544,0.12578532099723816,0.6197183098591549
5,tier_median,0.12721854448318481,0.13441741466522217,0.6431924882629108
5,continent_median,0.13574902713298798,0.13618884980678558,0.5915492957746479
5,selflag_then_tier,0.12453389912843704,0.1309354603290558,0.647887323943662
3,median,0.08737429231405258,0.10578125715255737,0.5885093167701864
3,tier_median,0.09248820692300797,0.11177541315555573,0.5869565217391305
3,continent_median,0.10001828521490097,0.11366153508424759,0.5295031055900621
3,selflag_then_tier,0.08964887261390686,0.10902108252048492,0.5885093167701864
1,median,0.03198965638875961,0.061816953122615814,0.4948216340621404
1,tier_median,0.03332355245947838,0.062443364411592484,0.5005753739930955
1,continent_median,0.0378275066614151,0.06399796903133392,0.4948216340621404
1,selflag_then_tier,0.03304020315408707,0.061549752950668335,0.5040276179516686
