horizon,config,model,n_folds,mae_mean,mae_std,rmse_mean,dir_acc_mean
1,A_EconOnly,ar1_honest,5,0.04140975549817085,0.00950196907017366,0.07413897961378098,0.6954841211980468
1,A_EconOnly,ensemble_lgbm_ridge_prior,5,0.03404928206973972,0.011680998473420225,0.05938199189624031,0.7232454280903716
1,A_EconOnly,lgbm,5,0.03300522950953154,0.012148728681849467,0.05770387409394059,0.7312948036149092
1,A_EconOnly,naive_persistence,5,0.04140975549817085,0.00950196907017366,0.07413897961378098,0.6954841211980468
1,A_EconOnly,ridge,5,0.03960757367312908,0.010964464040186568,0.06316543892025947,0.6429250346561453
1,A_EconOnly,xgboost,5,0.033022692799568175,0.012559754350958073,0.05726474970579147,0.7354020249326924
1,B_EconCrossDomain,ar1_honest,5,0.04140975549817085,0.00950196907017366,0.07413897961378098,0.6954841211980468
1,B_EconCrossDomain,ensemble_lgbm_ridge_prior,5,0.034539012450168195,0.011493689649911322,0.059585185204613256,0.7198075552567877
1,B_EconCrossDomain,lgbm,5,0.03313798147997664,0.011995496830462415,0.057811743710067406,0.7336160647134266
1,B_EconCrossDomain,naive_persistence,5,0.04140975549817085,0.00950196907017366,0.07413897961378098,0.6954841211980468
1,B_EconCrossDomain,ridge,5,0.04315133318305016,0.010170521328732723,0.0657881297171116,0.6294362393196279
1,B_EconCrossDomain,xgboost,5,0.033160753548145294,0.011991668418116391,0.05776315256953239,0.7414155999519034
1,C_TwoStageStack,ar1_honest,5,0.04140975549817085,0.00950196907017366,0.07413897961378098,0.6954841211980468
1,C_TwoStageStack,ensemble_lgbm_ridge_prior,5,0.03404928206973972,0.011680998473420225,0.05938199189624031,0.7232454280903716
1,C_TwoStageStack,lgbm,5,0.03300522950953154,0.012148728681849467,0.05770387409394059,0.7312948036149092
1,C_TwoStageStack,naive_persistence,5,0.04140975549817085,0.00950196907017366,0.07413897961378098,0.6954841211980468
1,C_TwoStageStack,ridge,5,0.03960757367312908,0.010964464040186568,0.06316543892025947,0.6429250346561453
1,C_TwoStageStack,two_stage_stacking,5,0.038216107020799826,0.010419836735554557,0.06107176681861707,0.7379778786699174
1,C_TwoStageStack,xgboost,5,0.033022692799568175,0.012559754350958073,0.05726474970579147,0.7354020249326924
1,D_TwinEnhanced,ar1_honest,5,0.04140975549817085,0.00950196907017366,0.07413897961378098,0.6954841211980468
1,D_TwinEnhanced,ensemble_lgbm_ridge_prior,5,0.034539012450168195,0.011493689649911322,0.059585185204613256,0.7198075552567877
1,D_TwinEnhanced,lgbm,5,0.03313798147997664,0.011995496830462415,0.057811743710067406,0.7336160647134266
1,D_TwinEnhanced,naive_persistence,5,0.04140975549817085,0.00950196907017366,0.07413897961378098,0.6954841211980468
1,D_TwinEnhanced,ridge,5,0.04315133318305016,0.010170521328732723,0.0657881297171116,0.6294362393196279
1,D_TwinEnhanced,twin_enhanced_ensemble,5,0.034268467795385095,0.011814492498908695,0.058883248345475016,0.7181778150702807
1,D_TwinEnhanced,xgboost,5,0.033160753548145294,0.011991668418116391,0.05776315256953239,0.7414155999519034
3,A_EconOnly,ar1_honest,5,0.0730169102549553,0.012129344149760296,0.1227746620774269,0.7490734069974602
3,A_EconOnly,ensemble_lgbm_ridge_prior,5,0.06868938070498147,0.009015210303255071,0.10869726786172004,0.7463241999996877
3,A_EconOnly,lgbm,5,0.07448902420943412,0.009023341704564298,0.11553454109728607,0.7303893668921212
3,A_EconOnly,naive_persistence,5,0.0730169102549553,0.012129344149760296,0.1227746620774269,0.7490734069974602
3,A_EconOnly,ridge,5,0.08871496766805649,0.008563078068070247,0.1305907279253006,0.653041374431406
3,A_EconOnly,xgboost,5,0.0712944783270359,0.013774999153111424,0.1121920794248581,0.7101262094972538
3,B_EconCrossDomain,ar1_honest,5,0.0730169102549553,0.012129344149760296,0.1227746620774269,0.7490734069974602
3,B_EconCrossDomain,ensemble_lgbm_ridge_prior,5,0.06910564791608934,0.008723905396724149,0.10893324890969322,0.7518130123667369
3,B_EconCrossDomain,lgbm,5,0.07457542129268954,0.008972440659530165,0.11582216664462033,0.737864449275159
3,B_EconCrossDomain,naive_persistence,5,0.0730169102549553,0.012129344149760296,0.1227746620774269,0.7490734069974602
3,B_EconCrossDomain,ridge,5,0.09513934552669526,0.0076929880683161995,0.13585509359836578,0.656949510606009
3,B_EconCrossDomain,xgboost,5,0.07044295743107795,0.011494805968617952,0.11188167333602905,0.7231085589068785
3,C_TwoStageStack,ar1_honest,5,0.0730169102549553,0.012129344149760296,0.1227746620774269,0.7490734069974602
3,C_TwoStageStack,ensemble_lgbm_ridge_prior,5,0.06868938070498147,0.009015210303255071,0.10869726786172004,0.7463241999996877
3,C_TwoStageStack,lgbm,5,0.07448902420943412,0.009023341704564298,0.11553454109728607,0.7303893668921212
3,C_TwoStageStack,naive_persistence,5,0.0730169102549553,0.012129344149760296,0.1227746620774269,0.7490734069974602
3,C_TwoStageStack,ridge,5,0.08871496766805649,0.008563078068070247,0.1305907279253006,0.653041374431406
3,C_TwoStageStack,two_stage_stacking,5,0.08282863119047872,0.014266039483151196,0.12250884563036842,0.7451560575411407
3,C_TwoStageStack,xgboost,5,0.0712944783270359,0.013774999153111424,0.1121920794248581,0.7101262094972538
3,D_TwinEnhanced,ar1_honest,5,0.0730169102549553,0.012129344149760296,0.1227746620774269,0.7490734069974602
3,D_TwinEnhanced,ensemble_lgbm_ridge_prior,5,0.06910564791608934,0.008723905396724149,0.10893324890969322,0.7518130123667369
3,D_TwinEnhanced,lgbm,5,0.07457542129268954,0.008972440659530165,0.11582216664462033,0.737864449275159
3,D_TwinEnhanced,naive_persistence,5,0.0730169102549553,0.012129344149760296,0.1227746620774269,0.7490734069974602
